date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2024-01-01,Mercado Bitcoin,USDT,USDT/BRL,4.95303386,5.0,4.90611,4.92604657,55348.84399773,272650.98312848294
2024-01-02,Mercado Bitcoin,USDT,USDT/BRL,4.92602094,4.98989,4.9051,4.93671448,91270.00949314,450573.9774545217
2024-01-03,Mercado Bitcoin,USDT,USDT/BRL,4.94153652,5.04927369,4.92835,4.96360745,115353.05194961,572567.2680373212
2024-01-04,Mercado Bitcoin,USDT,USDT/BRL,4.9627,5.1,4.93291,5.02366997,190045.3276965,954725.0056877163
2024-01-05,Mercado Bitcoin,USDT,USDT/BRL,4.96142,5.0308,4.9002,4.93,76428.1166968,376790.615315224
2024-01-06,Mercado Bitcoin,USDT,USDT/BRL,4.9316,5.04,4.90131,4.92198827,41953.68096621,206495.52559900787
2024-01-07,Mercado Bitcoin,USDT,USDT/BRL,4.92328127,5.08144,4.91055002,4.93506865,10647.21479521,52544.73594565704
2024-01-08,Mercado Bitcoin,USDT,USDT/BRL,4.94113434,4.98,4.9001,4.9001,116468.13496084,570705.5081216121
2024-01-09,Mercado Bitcoin,USDT,USDT/BRL,4.9001,4.95,4.9,4.94,67720.19017055,334537.73944251705
2024-01-10,Mercado Bitcoin,USDT,USDT/BRL,4.94,5.09755,4.91001007,4.92418281,150474.36913546,740963.3018424266
2024-01-11,Mercado Bitcoin,USDT,USDT/BRL,4.92428127,4.96071831,4.46,4.91247264,149575.78138127,734786.9336421103
2024-01-12,Mercado Bitcoin,USDT,USDT/BRL,4.9025305,4.9498811,4.80012,4.90378024,134546.95498237,659788.6991947155
2024-01-13,Mercado Bitcoin,USDT,USDT/BRL,4.91,4.93858,4.90320487,4.91984065,26309.64649523,129439.26831436259
2024-01-14,Mercado Bitcoin,USDT,USDT/BRL,4.92480065,4.97287,4.87014283,4.92372608,76749.93568512,377895.659971148
2024-01-15,Mercado Bitcoin,USDT,USDT/BRL,4.91187002,4.96528028,4.8615,4.92000692,126947.80232458,624584.0659157257
